"key","label","layer","unit","higher_is","na_meaning","n_gate"
"greenup_n_individuals","Individuals supporting green-up index","phenology","individuals","more support","NA when no candidate record exists; zero when candidates exist but none survives censoring/composition gates; otherwise final non-left-censored contributors in the selected connected recurrent-species panel.",">=2 species x >=3 individuals makes the emitted minimum 6"
"greenup_n_species","Species supporting green-up index","phenology","species","more support","NA when no candidate record exists; zero when none is eligible; otherwise recurrent resolved species contributing to the selected connected panel that year.",">=2 required for greenup_doy"
"greenup_reference_doy","Green-up site reference anchor","phenology","day-of-year","later anchor","NA when the site has no eligible connected recurrent-species panel; otherwise the fixed equal-species median baseline repeated across site-years. It anchors anomalies for display and is not an observed annual onset.","audit anchor; no annual gate"
"greenup_doy_additive","Green-up additive-model sensitivity","phenology","DOY-anchored index","later","NA on exactly the same site-years as greenup_doy. Alternate unweighted species + year OLS standardization on the same eligible connected cells, evaluated over every retained species x year and summarized by the fixed-species median. Values for missing species-years are additive-model extrapolations; neither this nor the median-centered primary estimator is uniquely true. retrospective full-snapshot standardization: species recurrence, incidence connectivity, primary species references, and additive species/year effects are refit over the current source snapshot; future refreshes can revise historical index values; source commits and the bundle fingerprint preserve exact lineage","same >=2-species/current-support gate as greenup_doy; sensitivity only, not a ladder signal"
"greenup_onset_interval_median_days","Median contributor onset interval width","phenology","days","wider timing uncertainty","NA when no final uncensored contributor survives the resolved/recurrent-species and connected-panel screens that year. Otherwise the median last-no to first-yes interval width across final contributors; tied earliest phases use the widest tied interval.","audit only; values >14 days trigger a QC review flag; finite exactly when greenup_n_individuals > 0"
"greenup_onset_interval_p90_days","90th-percentile contributor onset interval width","phenology","days","wider timing uncertainty","NA when no final contributor survives. Otherwise the type-7 90th percentile of last-no to first-yes interval widths across final contributors; it is a cadence audit, not an annual-index confidence interval.","audit only; finite exactly when greenup_n_individuals > 0"
"greenup_onset_interval_max_days","Maximum contributor onset interval width","phenology","days","wider timing uncertainty","NA when no final contributor survives. Otherwise the widest last-no to first-yes interval among final contributors; values >30 days trigger a QC review flag.","audit only; finite exactly when greenup_n_individuals > 0"
"plant_n_plots","Sampled plant plots","producer","plots","more effort","NA when the plant bundle has no species observations that year.","audit denominator; no inference gate"
"plant_n_sampling_units","Sampled plant units","producer","plot/subplot/scale/bouts","more effort","NA when the plant bundle has no species observations that year; nested scale and bout are part of the key.","audit denominator; no inference gate"
"plant_unknown_pct","Cover with unresolved native status","producer","% cover","more unresolved","NA when total scored cover is zero; includes NI, UNK, blank, and any code other than N or I.","total cover > 0"
"mammal_trap_nights","Small-mammal trap effort","consumer","trap-nights","more effort","NA when no trap records exist. A-J x 1-10 coordinates resolve physical events: reviewed status-4/5 multi-capture groups count once, while exactly two source-documented double-trap groups sum row weights. AX-JX, X1-X10, and XX placeholders remain row-level and can overstate effort when several rows came from one unknown trap; every unreviewed canonical duplicate aborts generation.",">0 required for mammal_cpue"
"mammal_captures","Small-mammal captures","consumer","tagged capture rows","more captures","NA when the mammal bundle has no rows that year; each nonblank tagID is one capture row.","paired with mammal_trap_nights"
"mammal_placeholder_trap_rows","Placeholder-coordinate mammal rows","consumer","source rows","more uncertain effort","NA when no mammal rows exist that year; otherwise the number of AX-JX, X1-X10, or XX source rows whose physical trap cannot be identified and whose effort therefore remains row-level.","audit only; each row contributes its locked status weight"
"mammal_multi_capture_trap_events","Resolved multi-capture trap events","consumer","trap events","more reviewed collapses","NA when no mammal rows exist that year; otherwise canonical-coordinate duplicate groups carrying status 4 (optionally 5), all unique tagged animals, collapsed to one trap-night.","audit only; exact reviewed structural rule"
"mammal_reviewed_double_trap_events","Source-documented double-trap events","consumer","coordinate-nights","more documented exceptions","NA when no mammal rows exist that year; otherwise canonical-coordinate two-row groups whose every remark contains the same one of two locked reviewed multi-trap markers; row effort is summed.","audit only; exact reviewed remark rule"
"bird_observed_point_visits","Observed bird point-count occasions","consumer","point-visits","more observed effort","NA when the catch-only observation table has no detections that year; zero-detection visits are unavailable.",">0 required for bird_index"
"bird_nonflyover_birds","Non-flyover bird detections","consumer","birds","more detections","NA when no observation rows exist that year; cluster sizes exclude detectionMethod=flyover.","numerator of bird_index"
"bird_flyover_birds","Excluded flyover detections","consumer","birds","more excluded detections","NA when no observation rows exist that year; retained for audit but excluded from index and richness.","audit only"
"mosq_trap_nights","Mosquito CO2-trap effort","consumer","trap-nights","more effort","NA when effort_week is unavailable that year; includes attempted zero-catch deployments.",">0 required for mosq_activity"
"mosq_total_catch","Whole-trap mosquito catch","consumer","mosquitoes (estimated)","more catch","Zero when positive recorded effort has no target catch; NA when neither effort nor catch is available.","numerator of mosq_activity"
"beetle_catch_event_trap_nights","Ground-beetle catch-event effort","consumer","trap-nights","more recorded effort","NA when no catch-bearing event with effort exists; source bundles omit zero-catch events.",">0 required for beetle_activity; incomplete denominator"
"beetle_total_catch","Ground-beetle catch","consumer","individuals","more catch","NA when the catch-only beetle bundle has no positive catch that year.","numerator of beetle_activity"
